gndr,cntry,agea,stflife,lrscale,health,hlthhmp,alcfreq,cgtsmok,slprl,happy,edulvlb,ipsucesa,iprspota,impricha,ipshabta,ipcrtiva,ipudrsta,ipmodsta,iphlppla,hinctnta
1,AT,48,10,10,3,2,2,6,1,10,322,2,3,4,4,4,2,1,3,77
1,AT,53,8,5,2,2,2,6,1,8,520,5,5,4,5,3,2,3,2,9
1,AT,54,7,6,2,3,1,1,2,8,520,2,2,3,3,2,3,2,4,77
1,AT,50,8,5,2,2,3,4,1,8,322,3,1,5,1,3,1,3,1,6
2,AT,42,8,5,1,3,3,6,1,7,322,3,3,3,5,5,1,4,1,3
1,AT,46,8,77,2,3,4,4,1,8,322,2,2,4,2,4,3,3,3,77
1,AT,53,6,6,2,3,2,1,2,7,322,4,2,3,2,5,2,2,3,88
2,AT,33,7,7,2,3,2,3,3,6,322,3,3,2,88,3,88,88,2,6
1,AT,23,9,4,1,3,7,6,1,9,423,2,2,2,2,1,2,3,2,8
1,AT,73,10,88,3,1,2,1,2,9,212,1,1,2,1,5,5,5,1,2
1,AT,55,8,9,3,3,6,1,1,8,520,2,2,2,2,2,2,2,2,4
2,AT,64,9,6,2,3,5,6,1,9,322,6,1,6,1,4,1,4,2,2
2,AT,76,9,5,2,1,4,6,2,9,610,5,1,5,4,1,2,4,1,3
1,AT,57,10,5,1,3,7,6,1,9,423,3,3,5,4,3,1,4,2,77
1,AT,69,9,4,1,3,7,6,2,8,800,2,2,3,2,3,2,2,1,10
2,AT,47,7,5,1,3,7,4,1,9,422,3,2,4,2,2,2,3,2,6
2,AT,57,8,1,1,3,4,6,1,10,610,2,2,4,3,2,3,5,4,7
2,AT,57,9,0,2,3,7,4,2,8,322,2,3,2,4,3,4,3,1,8
1,AT,90,7,7,3,2,7,4,1,7,322,5,4,3,5,5,2,2,3,3
1,AT,44,9,9,2,3,3,5,2,0,610,4,2,1,1,2,1,1,2,8
2,AT,73,8,6,2,3,5,6,1,8,800,3,2,4,3,2,2,4,2,77
2,AT,78,7,8,3,3,7,6,1,6,212,5,2,4,4,4,2,2,2,77
2,AT,72,7,7,1,3,7,6,2,9,212,6,6,6,6,3,1,2,1,4
2,AT,54,4,88,3,2,7,4,1,5,620,2,2,3,2,3,2,3,1,10
2,AT,24,7,77,2,3,4,1,3,8,322,2,2,3,2,1,3,2,2,4
2,AT,42,7,8,3,3,5,2,3,7,212,3,2,4,4,2,3,2,3,7
1,AT,17,8,5,1,3,7,6,1,5,213,4,1,6,2,2,1,2,2,2
2,AT,59,9,5,2,3,2,6,1,9,322,3,3,4,3,4,3,2,1,6
2,AT,81,7,5,4,2,7,6,2,8,212,5,4,5,5,5,4,2,5,2
2,AT,50,7,5,2,3,5,6,1,8,423,2,2,3,1,2,2,3,3,77
1,AT,45,6,6,1,3,1,1,1,6,720,2,2,3,2,1,1,1,2,88
1,AT,62,8,6,2,3,2,5,2,7,212,3,4,5,4,6,3,4,4,6
